ST,chamber,party,gender,birthdate,last.name,first.name,state
GA,House,Democrat,M,1940-02-21,Lewis,John,Georgia
GA,House,Republican,M,1966-08-16,Collins,Doug,Georgia
GA,House,Democrat,M,1945-06-27,Scott,David,Georgia
GA,House,Republican,M,1957-09-06,Carter,Buddy,Georgia
GA,Senate,Republican,M,1949-12-10,Perdue,David,Georgia
GA,House,Republican,M,1967-11-15,Ferguson,A.,Georgia
CT,House,Democrat,M,1953-04-06,Courtney,Joe,Connecticut
CT,House,Democrat,F,1959-08-25,Esty,Elizabeth,Connecticut
CT,Senate,Democrat,M,1946-02-13,Blumenthal,Richard,Connecticut
CT,House,Democrat,F,1943-03-02,DeLauro,Rosa,Connecticut
CT,House,Democrat,M,1966-07-05,Himes,James,Connecticut
CT,House,Democrat,M,1948-07-22,Larson,John,Connecticut
CT,Senate,Democrat,M,1973-08-03,Murphy,Christopher,Connecticut
AR,Senate,Republican,M,1977-05-13,Cotton,Tom,Arkansas
AR,House,Republican,M,1956-12-05,Hill,French,Arkansas
AR,House,Republican,M,1967-11-18,Westerman,Bruce,Arkansas
AR,House,Republican,M,1966-01-22,Crawford,Eric,Arkansas
AR,Senate,Republican,M,1950-12-10,Boozman,John,Arkansas
AR,House,Republican,M,1957-02-18,Womack,Steve,Arkansas
IN,House,Republican,F,1963-08-17,Walorski,Jackie,Indiana
IN,House,Democrat,M,1949-08-13,Visclosky,Peter,Indiana
IN,House,Republican,M,1969-02-27,Messer,Luke,Indiana
IN,House,Republican,M,1983-09-12,Hollingsworth,Trey,Indiana
IN,House,Democrat,M,1974-10-16,Carson,André,Indiana
IN,House,Republican,M,1970-02-09,Rokita,Todd,Indiana
IN,House,Republican,F,1960-08-25,Brooks,Susan,Indiana
IN,House,Republican,M,1962-05-31,Bucshon,Larry,Indiana
IN,Senate,Republican,M,1972-08-24,Young,Todd,Indiana
IN,Senate,Democrat,M,1955-09-28,Donnelly,Joe,Indiana
IN,House,Republican,M,1979-07-16,Banks,Jim,Indiana
NC,House,Republican,F,1943-06-29,Foxx,Virginia,North Carolina
NC,House,Republican,M,1969-05-20,Walker,Mark,North Carolina
NC,House,Republican,M,1948-08-15,Pittenger,Robert,North Carolina
NC,House,Republican,M,1968-04-17,Holding,George,North Carolina
NC,Senate,Republican,M,1960-08-30,Tillis,Thom,North Carolina
NC,House,Republican,M,1975-10-22,McHenry,Patrick,North Carolina
NC,House,Republican,M,1972-02-16,Rouzer,David,North Carolina
NC,House,Democrat,M,1947-04-27,Butterfield,George,North Carolina
NC,House,Republican,M,1971-10-21,Budd,Ted,North Carolina
NC,House,Republican,M,1943-02-10,Jones,Walter,North Carolina
NC,House,Democrat,F,1946-05-27,Adams,Alma,North Carolina
NC,House,Republican,M,1971-11-04,Hudson,Richard,North Carolina
NC,Senate,Republican,M,1955-11-30,Burr,Richard,North Carolina
NC,House,Democrat,M,1940-08-17,Price,David,North Carolina
NC,House,Republican,M,1959-07-28,Meadows,Mark,North Carolina
MA,House,Democrat,M,1949-02-14,Neal,Richard,Massachusetts
MA,House,Democrat,M,1980-10-04,Kennedy,Joseph,Massachusetts
MA,House,Democrat,M,1978-10-24,Moulton,Seth,Massachusetts
MA,Senate,Democrat,M,1946-07-11,Markey,Edward,Massachusetts
MA,House,Democrat,F,1963-07-17,Clark,Katherine,Massachusetts
MA,House,Democrat,M,1955-03-31,Lynch,Stephen,Massachusetts
MA,House,Democrat,M,1952-09-06,Keating,William,Massachusetts
MA,House,Democrat,M,1952-01-09,Capuano,Michael,Massachusetts
MA,House,Democrat,F,1946-04-26,Tsongas,Niki,Massachusetts
MA,Senate,Democrat,F,1949-06-22,Warren,Elizabeth,Massachusetts
MA,House,Democrat,M,1959-11-20,McGovern,James,Massachusetts
LA,House,Republican,M,1965-10-06,Scalise,Steve,Louisiana
LA,Senate,Republican,M,1957-09-28,Cassidy,Bill,Louisiana
LA,House,Republican,M,1972-01-30,Johnson,Mike,Louisiana
LA,House,Republican,M,1961-08-24,Higgins,Clay,Louisiana
LA,Senate,Republican,M,1951-11-21,Kennedy,John,Louisiana
LA,House,Republican,M,1954-09-16,Abraham,Ralph,Louisiana
LA,House,Republican,M,1972-01-31,Graves,Garret,Louisiana
LA,House,Democrat,M,1973-09-13,Richmond,Cedric,Louisiana
AZ,House,Democrat,M,1979-11-20,Gallego,Ruben,Arizona
AZ,House,Republican,F,1958-11-14,Lesko,Debbie,Arizona
AZ,House,Republican,M,1962-03-03,Schweikert,David,Arizona
AZ,House,Republican,M,1958-11-07,Biggs,Andy,Arizona
AZ,House,Democrat,F,1976-07-12,Sinema,Kyrsten,Arizona
AZ,Senate,Republican,M,1962-12-31,Flake,Jeff,Arizona
AZ,House,Democrat,M,1946-01-24,O’Halleran,Tom,Arizona
AZ,House,Democrat,M,1948-02-19,Grijalva,Raúl,Arizona
AZ,Senate,Republican,M,1936-08-29,McCain,John,Arizona
AZ,House,Republican,F,1966-03-22,McSally,Martha,Arizona
AZ,House,Republican,M,1958-11-22,Gosar,Paul,Arizona
NE,House,Republican,M,1970-12-19,Smith,Adrian,Nebraska
NE,House,Republican,M,1960-12-27,Fortenberry,Jeff,Nebraska
NE,Senate,Republican,M,1972-02-22,Sasse,Benjamin,Nebraska
NE,Senate,Republican,F,1951-03-01,Fischer,Deb,Nebraska
NE,House,Republican,M,1963-08-16,Bacon,Don,Nebraska
IA,House,Republican,M,1955-04-26,Blum,Rod,Iowa
IA,Senate,Republican,F,1970-07-01,Ernst,Joni,Iowa
IA,House,Republican,M,1968-05-11,Young,David,Iowa
IA,Senate,Republican,M,1933-09-17,Grassley,Charles,Iowa
IA,House,Democrat,M,1952-12-23,Loebsack,David,Iowa
IA,House,Republican,M,1949-05-28,King,Steve,Iowa
HI,Senate,Democrat,F,1947-11-03,Hirono,Mazie,Hawaii
HI,Senate,Democrat,M,1972-10-20,Schatz,Brian,Hawaii
HI,House,Democrat,F,1981-04-12,Gabbard,Tulsi,Hawaii
HI,House,Democrat,F,1951-05-04,Hanabusa,Colleen,Hawaii
ND,Senate,Republican,M,1957-03-13,Hoeven,John,North Dakota
ND,House,Republican,M,1961-01-21,Cramer,Kevin,North Dakota
ND,Senate,Democrat,F,1955-10-30,Heitkamp,Heidi,North Dakota
AK,Senate,Republican,M,1964-11-13,Sullivan,Dan,Alaska
AK,Senate,Republican,F,1957-05-22,Murkowski,Lisa,Alaska
AK,House,Republican,M,1933-06-09,Young,Don,Alaska
SD,Senate,Republican,M,1954-10-24,Rounds,Mike,South Dakota
SD,House,Republican,F,1971-11-30,Noem,Kristi,South Dakota
SD,Senate,Republican,M,1961-01-07,Thune,John,South Dakota
NV,Senate,Democrat,F,1964-03-29,Cortez Masto,Catherine,Nevada
NV,House,Democrat,F,1950-05-23,Titus,Dina,Nevada
NV,House,Republican,M,1958-06-12,Amodei,Mark,Nevada
NV,House,Democrat,F,1957-08-02,Rosen,Jacky,Nevada
NV,House,Democrat,M,1980-04-25,Kihuen,Ruben,Nevada
NV,Senate,Republican,M,1960-05-10,Heller,Dean,Nevada
MI,House,NA,NA,NA,NA,NA,NA
NY,House,NA,NA,NA,NA,NA,NA
OH,House,NA,NA,NA,NA,NA,NA
OK,House,NA,NA,NA,NA,NA,NA
PA,House,NA,NA,NA,NA,NA,NA
PA,House,NA,NA,NA,NA,NA,NA
